codigo_entidad,sector,departamento,total_contracts,total_spend,mean_risk_index,mean_calibrated_score,high_risk_contracts,flagged_spend,value_at_risk
708303094,"Vivienda, Ciudad y Territorio",Distrito Capital de Bogotá,317,1020580242978,0.5154690106268045,0.6890464231629986,180,388658486970,267803740278.6214
700613045,deportes,Distrito Capital de Bogotá,3498,1790148070960,0.3053442085186067,0.4844226221204068,1263,504716916038,244496291895.65317
704150358,Salud y Protección Social,Cesar,921,617144691753,0.3302552685875583,0.5418826051786929,472,450258257472,243987117562.14603
700220049,Planeación,Distrito Capital de Bogotá,3728,3754521621302,0.5332981949931292,0.820509730290323,3193,296192108769,243028507280.17422
704143338,Salud y Protección Social,Norte de Santander,909,476612374076,0.3317883575100103,0.5886751871738356,519,400562830177,235801399029.3268
704150309,Salud y Protección Social,Huila,764,424694620311,0.3805094512205061,0.6735176801860795,532,346184630411,233161469190.49203
701515082,Servicio Público,Santander,9328,1355016903602,0.24986147239269718,0.44689296803227035,3227,500629533045,223727817907.08963
704155118,Salud y Protección Social,Boyacá,980,380496800740,0.37412142250514113,0.6914007272763325,736,323474785489,223650701942.65024
701925125,Cultura,Distrito Capital de Bogotá,10344,873150101876,0.3495639189401468,0.6422657436785804,6943,327603589833,210408563255.86435
701946188,No aplica/No pertenece,Distrito Capital de Bogotá,5832,9253556280132,0.31150997718062245,0.4484143220414584,1869,465245123368,208622576578.1564
704141977,Salud y Protección Social,Caldas,733,387166277624,0.3660184164680583,0.628013949221888,454,325310866023,204299761695.89673
702349549,Servicio Público,Huila,4209,778287932788,0.27272353474885824,0.4887700215272059,1759,411734179652,201243323851.9945
700675051,Ley de Justicia,Distrito Capital de Bogotá,1186,2490468152508,0.32606639410840704,0.4684573156478363,321,427379490441,200209048854.931
703984526,Salud y Protección Social,Distrito Capital de Bogotá,3183,515261481223,0.36230439462673103,0.6148100501980696,1893,315857032865,194192078231.14395
703738674,"Vivienda, Ciudad y Territorio",Antioquia,320,581524891633,0.4744804521701448,0.7622574984209012,254,252188995747,192232953027.3875
702441189,Inclusión Social y Reconciliación,Valle del Cauca,5405,397276544303,0.36260682010636364,0.6455735414031917,3641,280972669099,181388521027.74857
700583222,interior,Distrito Capital de Bogotá,5665,1685139687492,0.19866038160525534,0.34458123701066146,1086,504151839517,173721264501.96832
702435959,Educación Nacional,Valle del Cauca,4643,635216956468,0.3132349476080993,0.6106663382524953,2933,275221770646,168068670887.76093
700569072,defensa,Distrito Capital de Bogotá,789,1418167882134,0.440530622042474,0.6084349149386193,312,262570093958,159756812782.76102
702359944,defensa,Distrito Capital de Bogotá,988,599206220040,0.36856934276136244,0.5080667850243772,274,299950680276,152394977793.70218
701149171,"Vivienda, Ciudad y Territorio",Distrito Capital de Bogotá,3203,956131023660,0.41737992591650835,0.8200070142784895,2964,185089162180,151774411254.52893
700613011,No aplica/No pertenece,Caldas,3557,851245983071,0.2774804531842309,0.4587261644037228,1164,328903262038,150876531854.56433
702309477,Transporte,Distrito Capital de Bogotá,3733,1419611706810,0.3301866159956279,0.569035119076087,1923,263652667707,150027627163.38074
701172108,Tecnologías de la Información y las Comunicaciones,Distrito Capital de Bogotá,3712,630979880239,0.38870611662055865,0.6483712173234474,2437,228539468134,148178413160.49478
706081700,Ambiente y Desarrollo Sostenible,Distrito Capital de Bogotá,3870,1060039048713,0.24197976302240856,0.4255015950878074,1250,335421133534,142722227344.87744
701993388,Salud y Protección Social,Distrito Capital de Bogotá,6857,2341353710958,0.33622802197320184,0.5370832383635628,3357,258056346109,138597738048.49008
704136498,Minas y Energía,Chocó,384,374179829169,0.3264864874669246,0.5008583615046803,169,266325567504,133391387366.85757
704143114,Salud y Protección Social,Caquetá,493,209544023136,0.43677465498751145,0.7412573617879281,369,178072984338,131997910576.08893
700765068,Minas y Energía,Distrito Capital de Bogotá,3521,545648499469,0.37683687736905513,0.5832487960355844,1738,224064335378,130685253843.7319
700218068,Servicio Público,Distrito Capital de Bogotá,3731,525879780136,0.37073906732758555,0.6372068255052179,2351,204967522205,130606704155.9183
700817075,Servicio Público,Meta,5693,709936444484,0.1830610782652519,0.3475064208767262,1156,374091464566,129999185931.8633
