community_id,n_contracts,n_vendors,n_agencies,total_spend,direct_rate,modified_rate,proxy_rate,flag_systemic,flag_collusion,flag_tight_community
16.0,16926,4317,140,21104127011515,0.9914923785891527,0.6927803379416283,0.6900035448422546,1,1,1
36.0,36696,7383,828,16930047182372,0.8886799651188141,0.1037987791584914,0.08777523435796818,0,0,0
17.0,65507,13544,491,13836812907033,0.9726136138122643,0.5604744531118812,0.554994122765506,1,1,1
14.0,32959,7675,834,12829903955422,0.9030310385630632,0.11174489517279043,0.09605873964622713,0,0,0
85.0,5728,867,113,12519624471713,0.9874301675977654,0.009078212290502794,0.006808659217877095,0,0,0
35.0,47603,9778,960,12017120107198,0.8871079553809634,0.1835178455139382,0.16633405457639225,1,0,1
18.0,1498,353,23,9662838081091,0.9979973297730307,0.0026702269692923898,0.0026702269692923898,0,0,0
34.0,28862,3979,1183,8787112643424,0.4862448894740489,0.1831127433996258,0.11097637031390756,0,0,0
28.0,44556,9919,991,8207137056224,0.8777493491336745,0.1111410359996409,0.08802405961037796,0,0,0
24.0,7053,1567,359,7813627907856,0.8837374167021126,0.09811427761236353,0.07868991918332624,0,0,0
74.0,40407,8166,967,7551816321570,0.9270175959610959,0.128146113297201,0.11347043829039523,0,0,0
5.0,13255,2825,470,6107621432694,0.9344398340248963,0.1904187099207846,0.18083741984156923,1,0,1
60.0,16888,3203,520,5221867619433,0.9327333017527238,0.16834438654666034,0.15904784462340124,1,0,1
9.0,36396,7482,843,4192987696933,0.926722716782064,0.14328497637102977,0.13028904275195077,0,0,0
29.0,15414,2945,453,3958225185502,0.960230958868561,0.11586869080057091,0.10827818865966005,0,0,0
44.0,7027,1657,212,3852029416722,0.9608652340970543,0.26640102461932547,0.2590009961576775,1,0,1
45.0,1880,93,452,3823349563015,0.14574468085106382,0.18085106382978725,0.036170212765957444,0,0,0
50.0,12168,2488,454,3512628742296,0.9420611439842209,0.09837278106508876,0.08851084812623274,0,0,0
10.0,12021,2906,374,3127618160919,0.9569087430330255,0.3097911987355461,0.29939272939023376,1,1,1
42.0,21833,4147,822,3122492926933,0.8002564924655339,0.2277744698392342,0.17043008290202905,1,0,1
25.0,61575,11317,626,2734923423243,0.9804790905399918,0.09135200974421437,0.08737312220868859,0,0,0
98.0,10533,2438,354,2682837888637,0.913699800626602,0.0484192537738536,0.04186841355739106,0,0,0
90.0,4663,1004,209,2258146771500,0.9307312888698263,0.25369933519193655,0.24619343770105082,1,0,1
12.0,31466,7094,768,2185989146715,0.8429733680798323,0.1379266509883684,0.10757643170406153,0,0,0
33.0,19622,4256,807,2127522873629,0.8737131790847008,0.16685353175007644,0.13785546835184997,0,0,0
63.0,19774,4219,663,2113049022211,0.9226256700718115,0.11186406392232225,0.10089005765146151,0,0,0
79.0,4159,779,292,2003860658704,0.898292858860303,0.11613368598220726,0.09473431113248378,0,0,0
11.0,30359,7339,429,1980108394535,0.9764155604598307,0.4022859777990052,0.39750979940050724,1,1,1
47.0,627,120,121,1979496034333,0.9074960127591707,0.25996810207336524,0.24720893141945774,1,0,1
3.0,3429,581,306,1876305181617,0.6774569845435987,0.20268299795858852,0.11023622047244094,0,0,0
75.0,19352,4208,751,1790468659257,0.8291649441918147,0.18256510954940058,0.15584952459694087,1,0,1
1.0,25012,4737,877,1756976409060,0.8868942907404446,0.18671037901807133,0.16384135614904846,1,0,1
67.0,22159,5226,345,1754031775793,0.8924139175955593,0.05478586578816733,0.041021706755720026,0,0,0
68.0,1156,210,69,1737699156363,0.4826989619377163,0.3719723183391003,0.11764705882352941,0,0,0
53.0,20194,4181,621,1637142330011,0.8960087154600377,0.1119144300287214,0.09790036644547885,0,0,0
19.0,1392,242,164,1487825407227,0.48419540229885055,0.2492816091954023,0.09554597701149425,0,0,0
37.0,6994,1670,222,1338041057882,0.942951100943666,0.0889333714612525,0.07434944237918216,0,0,0
40.0,19300,4460,508,1308348132271,0.9332642487046632,0.08352331606217617,0.07357512953367876,0,0,0
21.0,20952,4498,831,1206333616377,0.7615502100038183,0.1029495990836197,0.06199885452462772,0,0,0
55.0,3014,614,106,1125695416960,0.931320504313205,0.16821499668214995,0.15494359654943596,1,0,1
32.0,16539,4192,319,725052744224,0.9203700344639942,0.1936029989721265,0.1781244331579902,1,0,1
103.0,18406,3926,267,675348879348,0.9398022384005216,0.14169292621971097,0.1280017385635119,0,0,0
65.0,3297,699,224,650015381378,0.9736123748862603,0.15256293600242646,0.14952987564452533,0,0,0
26.0,2920,558,219,523430093086,0.9441780821917808,0.22910958904109588,0.21541095890410958,1,0,1
130.0,30,9,5,505253311320,1.0,0.26666666666666666,0.26666666666666666,1,0,1
48.0,2131,481,129,501889145286,1.0,0.1661191928671985,0.1661191928671985,1,0,1
89.0,316,53,28,442647654807,0.6930379746835443,0.060126582278481014,0.05379746835443038,0,0,0
70.0,7897,1553,133,416989761441,0.9937951120678739,0.07965050018994554,0.07838419653032798,0,0,0
43.0,5011,1207,143,410990602218,0.9010177609259629,0.1989622829774496,0.17641189383356615,1,0,1
84.0,9056,2504,313,385709401341,0.907243816254417,0.17016342756183744,0.15326855123674912,0,0,0
113.0,240,68,10,368001309687,0.9333333333333333,0.041666666666666664,0.03333333333333333,0,0,0
128.0,8355,2410,286,340598319807,0.895870736086176,0.04344703770197487,0.028605625374027527,0,0,0
105.0,6770,1669,310,300335233718,0.8186115214180206,0.17518463810930576,0.14194977843426884,0,0,0
41.0,5917,1488,127,278862616068,0.9447355078587122,0.05932060165624472,0.051377387189454116,0,0,0
31.0,4870,1084,180,251641489112,0.9827515400410678,0.21211498973305956,0.20944558521560575,1,0,1
64.0,561,91,122,237275056745,0.750445632798574,0.11051693404634581,0.049910873440285206,0,0,0
132.0,63,5,27,212103953510,0.07936507936507936,0.2698412698412698,0.06349206349206349,0,0,0
78.0,3144,755,127,181010001794,0.9977735368956743,0.016857506361323157,0.016221374045801526,0,0,0
